Unnamed: 0,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m
0, 경복궁역 7번출구 앞,종로구,서울특별시 종로구 사직로 지하130 경복궁역 7번출구 앞,37.57579422,126.9714508,사직로12길,내자동,경복궁,183.7,0
1, 경복궁역 4번출구 뒤,종로구,서울특별시 종로구 사직로 지하130 경복궁역 4번출구 뒤,37.57594681,126.9740601,사직로,적선동,경복궁,51.1,0
2, 광화문역 1번출구 앞,종로구,서울특별시 종로구 세종대로 지하189 세종로공원,37.57176971,126.9746628,세종대로23길,당주동,광화문,195.5,0
3, 종로구청 옆,종로구,서울특별시 종로구 세종로 84-1,37.57255936,126.9783325,종로1길,세종로,광화문,224.9,0
4, 서울역사박물관 앞,종로구,서울특별시 종로구 새문안로 55 서울역사박물관 앞,37.56999969,126.9710999,경희궁1길,신문로2가,광화문,505.0,3
5, 광화문 S타워 앞,종로구,서울특별시 종로구 새문안로 82 광화문S타워 앞,37.56996918,126.973938,덕수궁길,신문로1가,광화문,268.3,0
6, 광화문역 6번출구 옆 B,종로구,서울특별시 종로구 새문안로 102-2 가로판매대,37.56996155,126.9761581,세종대로21길,신문로1가,광화문,126.5,0
7, 국립현대미술관,종로구,서울특별시 종로구 삼청로 30 국립현대미술관 서울관,37.5797081,126.9808579,삼청로2길,소격동,안국,541.0,2
8, 종각역 1번출구 앞,종로구,서울특별시 종로구 종로 47 종각역 1번출구 앞,37.57039642,126.9817886,종로7길,종로1가,종각,103.6,2
9, 안국역 5번출구 앞,종로구,서울특별시 종로구 율곡로 지하62 안국역 5번출구 앞,37.57624054,126.9861603,율곡로,경운동,안국,68.6,0
10, 낙원상가 옆,종로구,서울특별시 종로구 삼일대로 428 낙원상가 옆,37.57335663,126.9874649,인사동4길,낙원동,안국,389.7,0
11, 탑골공원 앞,종로구,서울특별시 종로구 종로 99 탑골공원 앞,37.57039642,126.9881897,삼일대로20길,종로2가,종로3가,346.6,1
12, 청계2가 사거리 옆,종로구,서울특별시 종로구 청계천로 93 파고다타워,37.56848526,126.9878845,청계천로,관철동,을지로3가,430.8,0
13, 종로3가역 2번출구 뒤,종로구,서울특별시 종로구 종로 지하129 종로3가역 2번출구 뒤,37.5705986,126.9917908,수표로22길,종로3가,종로3가,111.9,1
14, 종로3가역 15번출구 앞,종로구,서울특별시 종로구 종로 지하129 15번출구 앞,37.57019806,126.9912567,종로18길,종로3가,종로3가,163.7,1
15, 창경궁 입구,종로구,서울특별시 종로구 창경궁로 185 창경궁 입구,37.57897949,126.9964752,창경궁로,와룡동,혜화,603.1,0
16, 세운스퀘어 앞,종로구,서울특별시 종로구 창경궁로 109 세운스퀘어 앞,37.57095718,126.9971237,창경궁로13길,종로4가,을지로4가,453.7,0
17, 종로4가 사거리,종로구,서울특별시 종로구 종로 185 종로4가 사거리,37.57106781,126.9981918,종로,종로4가,종로5가,323.5,1
18, 혜화동 로터리,종로구,서울특별시 종로구 창경궁로 271-1 혜화동 로터리,37.58562851,127.000679,혜화로,혜화동,혜화,379.6,0
19, 혜화역 3번출구 뒤,종로구,서울특별시 종로구 대학로 지하120 혜화역 3번출구 뒤,37.58156967,127.0017853,대학로,명륜4가,혜화,85.2,0
20, 대학로 마로니에공원,종로구,서울특별시 종로구 대학로 104 대학로 마로니에공원,37.57978439,127.002533,대학로,동숭동,혜화,289.7,2
21, 예일빌딩(율곡로) 앞,종로구,서울특별시 종로구 충신동 60,37.57561111,127.0046997,율곡로,충신동,종로5가,577.8,0
22, 성균관대 E하우스 앞,종로구,서울특별시 종로구 율곡로 259 성균관대 E하우스 앞,37.57403564,127.0067215,율곡로,충신동,동대문,394.5,0
23, 서울보증보험본사 앞,종로구,서울특별시 종로구 김상옥로 29 서울보증보험본사 앞,37.57330704,127.0007095,종로31가길,연지동,종로5가,282.8,1
24, 독립문역 사거리,종로구,서울특별시 종로구 교북동 10-1 독립문역 사거리,37.57202911,126.9607849,통일로,교북동,독립문,389.3,1
25, 사직동주민센터,종로구,서울특별시 종로구 사직로9길 5 사직동주민센터,37.57633209,126.9685898,사직로9가길,사직동,경복궁,441.0,1
26, 청운초교 앞 삼거리,종로구,서울특별시 종로구 청운동 108-22 청운초교 앞 삼거리,37.58507919,126.9706192,자하문로28길,청운동,경복궁,1065.6,0
27, 중앙고입구 삼거리,종로구,서울특별시 종로구 창덕궁길 191 중앙고입구 삼거리,37.58341599,126.9852371,창덕궁길,가회동,안국,770.4,0
28, 재동초교 앞 삼거리,종로구,서울특별시 종로구 재동 19 재동초교 앞 삼거리,37.57938766,126.9849472,북촌로5길,재동,안국,326.0,1
29, 포르투갈 대사관 앞,종로구,서울특별시 종로구 창덕궁1길 3 포르투갈 대사관 앞,37.57915497,126.9889603,창덕궁1길,원서동,안국,430.0,1
30, 서울사대부속초교 앞,종로구,서울특별시 종로구 연건동 178-3 서울사대부속초교 앞,37.57650757,127.0024567,율곡로,연건동,종로5가,621.8,0
31, KT혜화지사 앞,종로구,서울특별시 종로구 대학로 65 KT혜화지사 앞,37.57714462,127.0020599,율곡로,연건동,혜화,576.5,0
32, 성대입구 사거리,종로구,서울특별시 종로구 창경궁로 234 성대입구 사거리,37.58250046,126.9985352,창경궁로,명륜4가,혜화,292.8,0
33, 원남동사거리,종로구,서울특별시 종로구 율곡로 169 원남동사거리,37.57606125,126.9976807,창경궁로22길,원남동,종로5가,678.6,0
34, 동묘앞역 1번출구 뒤,종로구,서울특별시 종로구 숭인동 81-39 동묘앞역 1번출구 뒤,37.57324219,127.0159073,종로56길,숭인동,동묘앞,82.4,2
35, 청계8가 사거리,종로구,서울특별시 종로구 청계천로 407 청계8가 사거리,37.57222366,127.0227051,난계로25길,숭인동,신설동,400.8,0
36, 신설동역 11번출구 뒤,종로구,서울특별시 종로구 종로 411-3 가로판매,37.57559204,127.02285,보문로1길,숭인동,신설동,200.3,1
37, 창신역 1번출구 앞,종로구,서울특별시 종로구 지봉로 87 창신역 1번출구 앞,37.57933426,127.0150833,지봉로,창신동,창신,38.8,1
38, 독립문역 3-1번출구,종로구,서울특별시 종로구 무악동 41-7 독립문역 3번출구 뒤,37.57384872,126.9586945,통일로,무악동,독립문,115.8,0
39, SK 서린빌딩 앞,종로구,서울특별시 종로구 서린동 93-2 SK 서린빌딩 앞,37.5692482,126.9805374,종로,서린동,종각,233.8,1
40, 광화문 시민열린마당,종로구,서울특별시 종로구 세종로 76-5 광화문 시민열린마당,37.57549286,126.9785004,종로1길,세종로,광화문,521.5,0
41, 종각역 5번출구,종로구,서울특별시 종로구 서린동 26-1 종각역 5번출구,37.56983566,126.9826584,청계천로,서린동,종각,43.0,1
42, 동성중학교 앞,종로구,서울특별시 종로구 혜화동 56 동성중학교 앞,37.58573532,127.0016098,혜화로2길,혜화동,혜화,377.9,0
43, 동대문역 8번 출구,종로구,서울특별시 종로구 율곡로 지하 308 동대문역 8번출구,37.57014084,127.0093765,종로50다길,종로6가,동대문,145.7,0
44, 경희궁 자이 3단지,종로구,서울특별시 종로구 경교장길 35 경희궁자이 3단지,37.56748962,126.9659195,통일로,평동,서대문,200.9,0
45, 경희궁 자이 2단지,종로구,서울특별시 종로구 송월길 99 경희궁 자이 3단지,37.56885529,126.9645615,통일로8길,송월동,서대문,388.3,0
46, 종묘공영주차장 건너편,종로구,서울특별시 종로구 종로 지하 200 종묘공영주차장 건너편,37.57048035,126.9966354,종로30길,종로4가,을지로4가,413.0,0
47, 상명대입구,종로구,서울특별시 종로구 홍지문길 1 상명대 입구,37.60012817,126.9578323,세검정로,홍지동,홍제,1748.5,0
48, 신영동삼거리,종로구,서울특별시 종로구 진흥로 499 신영동 삼거리,37.60399246,126.9619446,진흥로,신영동,홍제,2308.7,0
49, 일성아파트,종로구,서울특별시 종로구 평창문화로 119 일성아파트,37.60871887,126.9728622,평창문화로,평창동,경복궁,3658.3,0
50, 효자동 삼거리,종로구,서울특별시 종로구 효자로13길 45 종로구 궁정동 98-2,37.58360291,126.9725494,효자로13길,효자동,경복궁,874.6,0
51, 청와대앞길,종로구,서울특별시 종로구 청와대로 73 종로구 세종로 1-54,37.58351517,126.9796677,삼청로7나길,팔판동,안국,933.0,0
52, 동대문 종합시장 버스정류장,종로구,서울특별시 종로구 종로 239 동대문 종합시장 버스정류장,37.57123947,127.0044098,대학로2길,종로5가,종로5가,228.9,0
53, 종로오가 지하쇼핑센터 14번출구,종로구,서울특별시 종로구 종로 지하 200 종로5가 지하쇼핑센터 14번출구,37.57114029,127.0006714,종로,종로5가,종로5가,106.7,0
54, 종로2가 버스정류장 (종각방향),종로구,서울특별시 종로구 종로 79-1 종로2가 버스정류장 (종각방향),37.57035828,126.9863815,삼일대로,종로2가,종각,306.3,1
55, 종로6가역 버스정류장(동대문 방향),종로구,서울특별시 종로구 종로 254-1 삼익한의원,37.570961,127.0060577,종로,종로5가,동대문,329.7,0
56, 숭인2동 주민센터 입구,종로구,서울특별시 종로구 종로 383-1 숭인2동 주민센터 입구 (이강3대냉면),37.57447052,127.0198288,종로,숭인동,동묘앞,363.4,1
57, 종로꽃시장 입구 옆,종로구,서울특별시 종로구 율곡로 지하 308 종로?시장 입구 옆,37.57131958,127.0072098,종로43길,종로6가,동대문,224.2,2
58, 광화문역 5번출구,종로구,서울특별시 종로구 세종대로 152 일민미술관,37.56989288,126.9775696,종로,세종로,광화문,148.8,1
59, 서울지방경찰청,종로구,서울특별시 종로구 사직로8길 31 서울지방경찰청,37.57436371,126.9723663,사직로8길,내자동,경복궁,186.2,1
60, 신영동삼거리(북악터널방향),종로구,서울특별시 종로구 평창문화로 6-4 신영동삼거리(북악터널방향),37.60351181,126.9620667,평창문화로,신영동,홍제,2278.4,0
61, 삼청동 골목,종로구,서울특별시 종로구 팔판길 46 삼청동 골목,37.58419037,126.9816971,삼청로,삼청동,안국,917.8,0
62, 삼청공원 앞,종로구,서울특별시 종로구 삼청동 25-32,37.58760452,126.9835968,북촌로,삼청동,안국,1245.7,1
63, 평창동주민센터 앞,종로구,서울특별시 종로구 평창문화로 65 평창동 주민센터,37.60627365,126.9683228,평창12길,평창동,무악재,3101.0,1
64,창신두산아파트,종로구,서울특별시 종로구 지봉로5길 7 두산아파트,37.57376099,127.0139389,종로53길,창신동,동묘앞,253.4,0
65,이화공영주차장,종로구,서울특별시 종로구 이화동 13-2,37.57660675,127.0055695,율곡로19길,이화동,동대문,683.7,0
66,서울특별시 교육청,종로구,서울특별시 종로구 송월길 48 서울특별시교육청,37.5695076,126.9670105,경교장길,신문로2가,서대문,415.8,0
67,서울특별시 중부교육지원청,종로구,서울특별시 종로구 대학로 8 수도빌딩,37.57185364,127.0023575,대학로2길,효제동,종로5가,112.3,0
68,파크팰리스,종로구,서울특별시 종로구 사직로8길 20 경희궁 파크팰리스,37.57455063,126.9705505,사직로8길,내수동,경복궁,295.6,0
69,안국동사거리(신),종로구,서울특별시 종로구 안국동 175-92,37.57580566,126.9833908,인사동길,안국동,안국,196.0,0
70,종로타워빌딩,종로구,서울특별시 종로구 공평동 70-4,37.57051086,126.9833679,우정국로,공평동,종각,55.3,0
71,종로3가역 8번출구,종로구,서울특별시 종로구 돈화문로10길 2,37.5724678,126.99189,돈화문로8길,묘동,종로3가,95.8,0
72,종묘,종로구,서울특별시 종로구 종로 153-2 가로판매대,37.5707016,126.994812,돈화문로4길,종로3가,종로3가,283.9,0
73,세운상가,종로구,서울특별시 종로구 종로 152,37.5703125,126.994545,돈화문로4길,종로3가,종로3가,281.4,0
74,종로플레이스,종로구,서울특별시 종로구 창경궁로 120 종로플레이스,37.57320023,126.997963,창경궁로16길,인의동,종로5가,426.1,0
75,종로5가역 4번출구,종로구,서울특별시 종로구 종로5가 79-2,37.57117462,127.0022278,대학로2길,종로5가,종로5가,43.4,0
76,동대문역6번출구,종로구,서울특별시 종로구 종로 302 1호선 동대문역,37.57146072,127.010788,종로46가길,창신동,동대문,92.3,0
77,동묘앞역 6번출구,종로구,서울특별시 종로구 창신동 397-6,37.5715332,127.0156174,지봉로,창신동,동묘앞,141.0,0
78,창신3동주민센터,종로구,서울특별시 종로구 창신동 23-825,37.57772446,127.0152512,지봉로,창신동,창신,214.9,1
79,창신역2번 출구,종로구,서울특별시 종로구 창신동 1-105,37.57998657,127.0150604,지봉로17길,창신동,창신,39.5,0
80,국립어린이과학관,종로구,서울특별시 종로구 와룡동 2-85,37.58194733,126.9973679,창경궁로27길,와룡동,혜화,397.7,0
81, 성균관대입구사거리,종로구,서울특별시 종로구 명륜2가 197-4,37.58327484,126.9988556,창경궁로,명륜2가,혜화,283.8,0
82,혜화역 1번출구,종로구,서울특별시 종로구 대학로 144 중원빌딩,37.58385468,127.0018539,대학로14길,혜화동,혜화,168.6,0
83,성균관대 정문,종로구,서울특별시 종로구 명륜2가 133,37.58479691,126.9971314,성균관로,명륜2가,혜화,497.9,1
84,현대그룹(본사),종로구,서울특별시 종로구 연지동 1-38,37.57583618,127.0006943,율곡로,연지동,종로5가,554.4,1
85,광화문 풍림스페이스본 1단지앞,종로구,서울특별시 종로구 사직동 9-2,37.57529068,126.968956,사직로8길,사직동,경복궁,407.4,0
86,독립문역 2번출구 뒤,종로구,서울특별시 종로구 무악동 32-3,37.57501602,126.9575501,통일로,무악동,독립문,52.4,1
87,인왕산 아이파크 정문,종로구,서울특별시 종로구 무악동 60-5,37.57666779,126.9558487,통일로,무악동,독립문,286.9,0
88,서울미술관,종로구,서울특별시 종로구 부암동 202-1,37.59512711,126.9634934,창의문로12길,부암동,무악재,1840.3,0
89,HW컨벤션센터 앞,종로구,서울특별시 종로구 부암동 134-2,37.59725952,126.963089,자하문로,부암동,무악재,2008.7,0
90,구기치안센터 앞,종로구,서울특별시 종로구 비봉길 12,37.60950089,126.9566803,비봉길,구기동,녹번,2078.3,1
91,로제우스 레포츠센터,종로구,서울특별시 종로구 구기동 110-22,37.60760117,126.9576874,진흥로,구기동,녹번,2073.4,0
92,종로2가 사거리,종로구,서울특별시 종로구 종로 98 와이.비.엠 종로빌딩,37.56999207,126.9883423,삼일대로20길,종로2가,종로3가,354.6,0
93, 쌍용아파트2단지 정문,종로구,서울특별시 종로구 낙산길198(창신3동),37.58131409,127.0126801,낙산길,창신동,창신,291.3,0
94, 청계3가 사거리,종로구,서울특별시 종로구 관수동91-1,37.56855774,126.9921188,청계천로,관수동,을지로3가,251.8,0
95, 조계사앞사거리,종로구,서울특별시 종로구 삼봉로95(견지동110),37.5721817,126.9828339,우정국로,견지동,종각,224.4,0
96, 자교교회 앞,종로구,서울특별시 종로구 자하문로 56 자교교회,37.58114624,126.9712372,자하문로16길,창성동,경복궁,631.0,0
97, 올림픽기념 국민생활관 로터리,종로구,서울특별시 종로구 혜화로 50,37.58983612,126.9993439,혜화로,혜화동,한성대입구,626.4,0
98, 웰니스센터(민방위교육장 앞),종로구,서울특별시 종로구 운니동 98-7,37.57752991,126.9891281,돈화문로11가길,운니동,안국,345.9,2
99, 천지인 오피스텔 앞,종로구,서울특별시 종로구 평창동 290-15,37.60469818,126.9645157,평창1길,평창동,홍제,2525.4,0
100, 현대 뜨레비앙 아파트 앞,종로구,서울특별시 종로구 돈화문로11가길 59,37.57528305,126.9906235,돈화문로11가길,와룡동,종로3가,421.2,1
101, 돈의문 박물관 마을,종로구,서울특별시 종로구 새문안로 39-1 동서한의원,37.56883621,126.9695511,새문안로,신문로2가,서대문,426.2,0
102, 광화문역 6번출구 옆 A,종로구,서울특별시 종로구 세종로 208,37.56993103,126.9764328,세종대로21길,세종로,광화문,123.3,0
103, 종로문화원 건너편,종로구,서울특별시 종로구 중학동 10-3,37.57571411,126.9805069,율곡로2길,중학동,안국,444.2,0
104, 정동사거리,중구,서울특별시 중구 정동길 2-1 정동사거리,37.56805038,126.9692307,새문안로,충정로1가,서대문,340.9,1
105, 청계광장 옆,중구,서울특별시 중구 세종대로 136 청계광장 옆,37.56887817,126.9774704,세종대로,태평로1가,광화문,248.7,1
106, 광교사거리 남측,중구,서울특별시 중구 남대문로 125 DGB금융센터,37.56863403,126.9823151,남대문로,다동,종각,177.8,0
107, 을지로입구역 4번출구 앞,중구,서울특별시 중구 을지로 55 명동금융센터 앞,37.56622314,126.9835892,명동9길,을지로2가,을지로입구,88.9,1
108, KEB 하나금융그룹 명동사옥 옆,중구,서울특별시 중구 을지로 66 한국외환은행 본점 앞,37.56546402,126.9841385,명동9길,을지로2가,을지로입구,147.6,0
109, 명동성당 앞,중구,서울특별시 중구 명동길 74 명동성당 앞,37.56447601,126.986969,명동길,명동2가,명동,391.2,1
110, 신세계백화점 본점 앞,중구,서울특별시 중구 충무로1가 53-6,37.56143188,126.9806976,남대문시장길,남대문로3가,회현,389.6,2
111, 을지로2가 사거리 북측,중구,서울특별시 중구 을지로 79 을지로2가 사거리 북측,37.56638336,126.9872055,명동13길,을지로2가,을지로입구,407.4,1
112, 을지로2가 사거리 남측,중구,서울특별시 중구 을지로 100 을지로2가 사거리 남측,37.56599045,126.987793,명동13길,을지로2가,을지로3가,365.3,0
113, 충무로역 6번출구 앞,중구,서울특별시 중구 퇴계로 214 충무로역 3.4호선,37.56144714,126.9931107,퇴계로37길,필동1가,충무로,105.8,0
114, 맥스타일 앞,중구,서울특별시 중구 마장로 3 맥스타일,37.56918335,127.0098801,장충단로,을지로6가,동대문,248.5,2
115, 동대문역사문화공원역 9번출구 앞,중구,서울특별시 중구 장충단로 지하230 동대문역사문화공원역 9번출구 앞,37.56533051,127.007843,장충단로,을지로7가,동대문역사문화공원,21.9,3
116, 시청역(2호선) 9번출구 뒤,중구,서울특별시 중구 서소문로 지하127 시청역(2호선) 9번출구 뒤,37.56322861,126.9748383,서소문로,서소문동,시청,259.9,0
117, 동대입구역 6번출구 뒤,중구,서울특별시 중구 동호로 지하256 동대입구역 6번출구 뒤,37.55887222,127.0055389,동호로,장충동2가,동대입구,20.7,0
118, 약수역 3번출구 뒤,중구,서울특별시 중구 다산로 지하122 약수역 4번출구 뒤,37.55429459,127.0112,동호로,신당동,약수,48.4,0
119, 청구역 2번출구 앞,중구,서울특별시 중구 청구로 77 청구역 5.6호선,37.5604744,127.0140762,청구로,신당동,청구,33.6,0
120, 서울역9번출구,중구,서울특별시 중구 세종대로 지하2 서울역9번출구,37.55599976,126.9733582,후암로60길,봉래동2가,서울,165.8,0
121, CJ제일제당 앞,중구,서울특별시 중구 동호로 330 CJ제일제당 앞,37.56386566,127.0027466,마른내로,쌍림동,동대문역사문화공원,476.4,1
122, 장충체육관,중구,서울특별시 중구 장충동2가 200-99 장충체육관,37.55853271,127.0069885,동호로,장충동2가,동대입구,135.4,0
123, 약수역 10번출구 앞,중구,서울특별시 중구 신당동 357-1 약수역 10번출구 앞,37.55519867,127.0100479,동호로,신당동,약수,109.4,1
124, 신당역 12번 출구 뒤,중구,서울특별시 중구 신당동 99 신당역 5번 출구,37.5658493,127.0164032,퇴계로75길,흥인동,신당,125.9,1
125, 종로학원본원,중구,서울특별시 중구 청파로 456 종로학원본원 앞,37.55978012,126.9685059,청파로,중림동,충정로,427.6,0
126, 훈련원공원주차장 앞,중구,서울특별시 중구 을지로 227 훈련원공원주차장 앞,37.56699371,127.0034638,을지로38길,을지로5가,종로5가,459.2,1
127, 을지로4가역 1번출구,중구,서울특별시 중구 을지로 지하 178 을지로4가역 1번출구,37.5667305,126.9966049,을지로,을지로4가,을지로4가,132.3,0
128, 충무로역 1번출구,중구,서울특별시 중구 퇴계로 212 충무로역 1번출구,37.56138992,126.9953537,퇴계로,충무로4가,충무로,96.3,1
129, 시립미술관,중구,서울특별시 중구 덕수궁길 61 서울시립미술관,37.56505203,126.9734039,서소문로11길,서소문동,시청,329.3,1
130, 을지로3가역 3번출구,중구,서울특별시 중구 을지로 지하 129 을지로3가역 3번출구,37.56655884,126.9924393,을지로13길,을지로3가,을지로3가,55.2,0
131, 서울역 센트럴 자이아파트,중구,서울특별시 중구 만리재로 175 서울역 센트럴 자이아파트,37.55410767,126.9654083,만리재로,만리동2가,충정로,668.8,0
132, 명보사거리,중구,서울특별시 중구 을지로 지하 129 명보사거리,37.56439972,126.9914322,수표로12길,초동,을지로3가,214.5,0
133, 송도병원,중구,서울특별시 중구 다산로 59-1 송도병원,37.54988861,127.0073471,다산로5길,신당동,버티고개,209.8,0
134, 장충동먹자골목 앞,중구,서울특별시 중구 장충단로 192 KEB하나은행 장충동지점,37.56207275,127.0063171,장충단로7길,장충동1가,동대입구,341.2,0
135, 청계천 영도교,중구,서울특별시 중구 청계천로 400 롯데캐슬베네치아,37.5710144,127.0197449,난계로21길,황학동,동묘앞,343.3,0
136, 을지로입구역 2번출구,중구,서울특별시 중구 을지로 지하 42 을지로입구역 1번출구,37.56634521,126.9822922,을지로3길,을지로1가,을지로입구,46.7,0
137, 신당 래미안 버스정류장,중구,서울특별시 중구 퇴계로90길 74 신당 레미안 버스정류장 (112동 인근),37.56148911,127.0239334,난계로,신당동,상왕십리,574.9,0
138, SK 남산빌딩,중구,서울특별시 중구 퇴계로 33 SK 남산빌딩,37.55686188,126.9756165,소월로,남대문로5가,회현,296.0,0
139, 서울역 서부교차로2,중구,서울특별시 중구 퇴계로 33 서울역 서부교차로2,37.55536652,126.9686432,청파로95길,서계동,서울,355.1,0
140,염천교사거리,중구,서울특별시 중구 칠패로 5 서소문공원,37.55989075,126.9714966,칠패로,순화동,서울,589.4,1
141,서울역 서부,중구,서울특별시 중구 퇴계로 33 서울로7017편의시설,37.55641556,126.9691925,만리재로,만리동1가,서울,356.3,0
142,호암아트홀,중구,서울특별시 중구 세종대로7길 57-1 구두수선대207 호암아트홀,37.5621109,126.9707184,서소문로,순화동,서대문,543.1,0
143,대한상공회의소,중구,서울특별시 중구 세종대로 39 대한서울상공회의소,37.56015396,126.9741058,세종대로7길,남대문로4가,회현,408.6,0
144,롯데호텔,중구,서울특별시 중구 을지로 30 롯데호텔,37.56584167,126.9798126,남대문로9길,을지로1가,을지로입구,248.6,0
145,한국은행,중구,서울특별시 중구 남대문로3가 110-8,37.5622139,126.9808655,소공로,남대문로3가,을지로입구,449.3,1
146,웨스틴 조선호텔,중구,서울특별시 중구 소공로 106 서울 웨스틴조선호텔,37.56415939,126.9794846,세종대로18길,소공동,시청,218.9,0
147,회현역 1번출구,중구,서울특별시 중구 퇴계로 72 리더스뷰남산,37.5592308,126.9801407,퇴계로10길,회현동1가,회현,185.4,0
148,회현역 7번출구,중구,서울특별시 중구 회현동1가 23-1,37.55974579,126.9800034,남대문시장10길,회현동1가,회현,206.9,1
149,회현사거리 남측,중구,서울특별시 중구 퇴계로 100 스테이트타워 남산,37.56035995,126.9826508,퇴계로14길,회현동2가,명동,332.1,1
150,삼일교(시그니쳐 타워),중구,서울특별시 중구 수표동 99-1,37.56787109,126.9884033,청계천로,수표동,을지로3가,355.8,0
151,을지로4가역 9번출구,중구,서울특별시 중구 을지로 170,37.56605148,126.9979858,창경궁로,을지로4가,을지로4가,99.1,0
152,동대문역사문화공원역 1번출구 뒤편,중구,서울특별시 중구 을지로7가 143,37.56629944,127.0084915,장충단로,을지로7가,동대문역사문화공원,139.2,0
153,DDP 패션몰,중구,서울특별시 중구 신당동 853,37.56764984,127.0118103,마장로1길,신당동,동대문,456.5,4
154,광희문,중구,서울특별시 중구 광희동2가 105-32,37.56443024,127.0099564,퇴계로,광희동2가,동대문역사문화공원,198.3,0
155,앰배서더 호텔 주변,중구,서울특별시 중구 장충동2가 191-65,37.55928802,127.0026856,동호로25가길,장충동2가,동대입구,259.0,0
156,동대입구역 3번 출구,중구,서울특별시 중구 장충동2가 199-4,37.55937576,127.0060272,동호로,장충동2가,동대입구,52.0,1
157,약수역 6번 출구,중구,서울특별시 중구 다산로 122 약수역 3호선,37.55432129,127.010704,다산로,신당동,약수,4.8,0
158,신당역 10번 출구,중구,서울특별시 중구 다산로 269 광희초등학교,37.56703186,127.0157929,퇴계로75길,신당동,신당,214.3,1
159,남산타운아파트 버스정류장,중구,서울특별시 중구 다산로 32 남산타운,37.54758453,127.0064392,동호로17길,신당동,버티고개,72.3,1
160,도동삼거리,중구,서울특별시 중구 남창동 205-4,37.55614853,126.9774246,퇴계로2길,남창동,회현,272.4,0
161,서울역5번출구,중구,서울특별시 중구 세종대로 2 서울역 1호선,37.55677032,126.9731979,세종대로2길,남대문로5가,서울,242.2,0
162, 삼성사이버빌리지아파트,중구,서울특별시 중구 중림로 10 중림동 삼성 사이버 빌리지,37.55891418,126.964859,중림로,중림동,충정로,157.5,0
163, 시청역 10번출구,중구,서울특별시 중구 서소문로 103,37.56284332,126.9726181,서소문로,서소문동,시청,447.9,0
164, 서울역 7번출구,중구,서울특별시 중구 남대문로5가 84-11,37.55664444,126.9736404,세종대로2길,남대문로5가,서울,241.3,0
165, 중부경찰서앞사거리 건너편,중구,서울특별시 중구 초동 107-12,37.56474304,126.9909515,수표로,초동,을지로3가,191.9,0
166, 국제빌딩,중구,서울특별시 중구 남대문로 109,37.56693268,126.9825821,남대문로,남대문로1가,을지로입구,102.0,1
167, 동대문디자인플라자,중구,서울특별시 중구 을지로6가 18-169,37.5683136,127.0094605,장충단로,을지로6가,동대문,345.7,3
168, 서소문성지역사박물관,중구,서울특별시 중구 중림동 373,37.56024551,126.9687805,서소문로8길,중림동,충정로,452.4,1
169, 서울도시건축전시관,중구,서울특별시 중구 태평로1가 60-20,37.5670166,126.9768372,세종대로19길,태평로1가,시청,256.2,0
170, 중앙일보,중구,서울특별시 중구 서소문동58-6,37.56253433,126.972496,세종대로7길,서소문동,시청,474.1,0
171, 을지로입구역 8번출구,중구,서울특별시 중구 을지로1가 140-1,37.56590271,126.981781,남대문로9길,을지로1가,을지로입구,75.0,1
172, 을지로지하쇼핑센터,중구,서울특별시 중구 을지로 66 하나금융그룹 명동사옥,37.56589127,126.9844513,명동9길,을지로2가,을지로입구,162.5,0
173,서울지방고용노동청 앞,중구,서울특별시 중구 삼일대로 363 장교빌딩,37.56761551,126.9872437,청계천로,장교동,을지로3가,437.5,2
174, 신세계면세점,중구,서울특별시 중구 충무로1가 54-2,37.56005478,126.9809418,남대문시장10길,충무로1가,회현,293.2,1
175, 약수동 주민센터,중구,서울특별시 중구 다산로96,37.55281448,127.0091934,다산로6길,신당동,약수,212.9,1
176, 대신파이낸스센터,중구,서울특별시 중구 삼일대로 343-1 가로판매대38,37.56520844,126.9873962,삼일대로,저동1가,명동,477.8,1
177, 브라운스위트레지던스,중구,서울특별시 중구 중립동 340-1,37.56147003,126.9680176,서소문로,중림동,서대문,492.8,0
178, 서소문역사공원,중구,서울특별시 중구 의주로2가 16-6,37.56157303,126.9684906,서소문로,의주로2가,서대문,494.0,0
179, 중부경찰서앞 사거리,중구,서울특별시 중구 저동2가 22-1,37.56459045,126.9907684,수표로,초동,을지로3가,214.4,0
180, 롯데시티호텔,중구,서울특별시 중구 장교동 74,37.56689835,126.9877396,삼일대로12길,장교동,을지로3가,374.5,1
181, 명동역9번 출구,중구,서울특별시 중구 퇴계로 135-14 구두수선대124,37.56122589,126.9874954,퇴계로,충무로2가,명동,106.7,0
182, 퇴계로4가 교차로(중구청),중구,서울특별시 중구 퇴계로 235 남산 센트럴 자이,37.5625267,126.9983139,창경궁로1길,충무로5가,충무로,383.8,0
183, 동대문역사문화공원역 5번출구,중구,서울특별시 중구 광희동 1가 202-5,37.56430817,127.0064774,마른내로,광희동1가,동대문역사문화공원,155.5,0
184, 서울역 서부교차로(3),중구,서울특별시 중구 중구 한강대로 405,37.55540848,126.9694214,청파로95길,봉래동2가,서울,289.8,0
185, 부산은행,중구,서울특별시 중구 무교로 6,37.5664711,126.9792557,무교로,을지로1가,시청,271.8,0
